student_track_id,track_Name,date_enrolled,track_completed,days_for_completion,completion_bucket
1,"Data Scientist",2022-09-16,0,NULL,NULL
2,"Business Analyst",2022-09-16,0,NULL,NULL
1,"Data Analyst",2022-02-25,0,NULL,NULL
1,"Data Analyst",2022-04-02,0,NULL,NULL
1,"Data Scientist",2022-01-28,0,NULL,NULL
2,"Business Analyst",2022-06-02,0,NULL,NULL
1,"Data Analyst",2022-02-13,0,NULL,NULL
1,"Data Analyst",2022-03-29,0,NULL,NULL
1,"Data Analyst",2022-07-07,0,NULL,NULL
1,"Data Analyst",2022-02-03,0,NULL,NULL
1,"Data Scientist",2022-03-06,0,NULL,NULL
1,"Data Analyst",2022-04-03,0,NULL,NULL
1,"Data Scientist",2022-05-21,0,NULL,NULL
1,"Data Scientist",2022-08-11,0,NULL,NULL
1,"Business Analyst",2022-07-20,0,NULL,NULL
1,"Data Scientist",2022-01-16,0,NULL,NULL
2,"Data Analyst",2022-01-17,0,NULL,NULL
3,"Business Analyst",2022-01-17,0,NULL,NULL
1,"Data Analyst",2022-01-20,0,NULL,NULL
1,"Data Analyst",2022-01-04,0,NULL,NULL
1,"Data Analyst",2022-09-27,0,NULL,NULL
1,"Data Scientist",2022-07-20,0,NULL,NULL
1,"Data Scientist",2022-08-19,0,NULL,NULL
1,"Data Analyst",2022-03-22,0,NULL,NULL
1,"Data Scientist",2022-03-27,0,NULL,NULL
2,"Data Analyst",2022-03-05,0,NULL,NULL
3,"Business Analyst",2022-05-11,0,NULL,NULL
1,"Business Analyst",2022-01-10,0,NULL,NULL
1,"Data Analyst",2022-01-27,0,NULL,NULL
1,"Data Scientist",2022-01-16,0,NULL,NULL
2,"Data Analyst",2022-01-16,0,NULL,NULL
3,"Business Analyst",2022-01-16,0,NULL,NULL
1,"Data Analyst",2022-06-01,0,NULL,NULL
1,"Business Analyst",2022-09-11,0,NULL,NULL
1,"Data Scientist",2022-03-23,0,NULL,NULL
1,"Data Scientist",2022-03-15,0,NULL,NULL
1,"Data Analyst",2022-05-16,0,NULL,NULL
1,"Data Analyst",2022-09-12,0,NULL,NULL
1,"Data Analyst",2022-07-12,0,NULL,NULL
1,"Data Analyst",2022-10-09,0,NULL,NULL
1,"Data Analyst",2022-06-24,0,NULL,NULL
1,"Data Scientist",2022-10-16,0,NULL,NULL
1,"Business Analyst",2022-04-16,0,NULL,NULL
1,"Data Scientist",2022-08-15,0,NULL,NULL
1,"Data Scientist",2022-02-14,0,NULL,NULL
1,"Data Scientist",2022-09-14,0,NULL,NULL
1,"Data Scientist",2022-02-06,0,NULL,NULL
2,"Data Analyst",2022-09-04,0,NULL,NULL
1,"Business Analyst",2022-04-03,0,NULL,NULL
1,"Data Analyst",2022-07-20,0,NULL,NULL
1,"Data Analyst",2022-08-23,0,NULL,NULL
1,"Data Analyst",2022-04-01,0,NULL,NULL
1,"Data Scientist",2022-01-22,0,NULL,NULL
2,"Data Analyst",2022-01-20,0,NULL,NULL
1,"Data Analyst",2022-04-05,1,406,366+
1,"Data Scientist",2022-04-27,0,NULL,NULL
2,"Business Analyst",2022-04-27,0,NULL,NULL
1,"Data Scientist",2022-02-14,0,NULL,NULL
1,"Data Scientist",2022-08-23,0,NULL,NULL
2,"Data Analyst",2022-08-22,0,NULL,NULL
3,"Business Analyst",2022-08-23,0,NULL,NULL
1,"Data Scientist",2022-01-14,0,NULL,NULL
1,"Data Scientist",2022-03-15,0,NULL,NULL
1,"Data Analyst",2022-02-01,0,NULL,NULL
1,"Business Analyst",2022-08-07,0,NULL,NULL
1,"Data Scientist",2022-06-26,0,NULL,NULL
1,"Data Analyst",2022-01-12,0,NULL,NULL
1,"Data Analyst",2022-03-07,0,NULL,NULL
1,"Data Scientist",2022-07-28,0,NULL,NULL
1,"Data Analyst",2022-01-03,0,NULL,NULL
1,"Data Analyst",2022-06-27,0,NULL,NULL
1,"Data Scientist",2022-09-27,0,NULL,NULL
1,"Business Analyst",2022-04-15,0,NULL,NULL
1,"Data Analyst",2022-02-14,0,NULL,NULL
1,"Data Analyst",2022-03-16,0,NULL,NULL
1,"Data Scientist",2022-05-09,0,NULL,NULL
2,"Data Analyst",2022-05-09,0,NULL,NULL
3,"Business Analyst",2022-05-09,0,NULL,NULL
1,"Data Scientist",2022-07-15,0,NULL,NULL
2,"Data Analyst",2022-10-08,0,NULL,NULL
1,"Data Analyst",2022-08-24,0,NULL,NULL
2,"Business Analyst",2022-07-14,0,NULL,NULL
1,"Data Analyst",2022-03-26,0,NULL,NULL
1,"Data Analyst",2022-08-11,0,NULL,NULL
2,"Business Analyst",2022-08-15,0,NULL,NULL
1,"Data Analyst",2022-06-02,0,NULL,NULL
1,"Data Analyst",2022-04-20,0,NULL,NULL
2,"Business Analyst",2022-04-20,0,NULL,NULL
1,"Data Analyst",2022-06-02,0,NULL,NULL
1,"Data Analyst",2022-01-18,0,NULL,NULL
1,"Data Scientist",2022-01-01,0,NULL,NULL
1,"Data Scientist",2022-06-26,0,NULL,NULL
2,"Data Analyst",2022-06-26,0,NULL,NULL
1,"Data Scientist",2022-09-09,0,NULL,NULL
2,"Data Analyst",2022-06-12,0,NULL,NULL
1,"Data Scientist",2022-09-26,0,NULL,NULL
1,"Data Scientist",2022-01-17,0,NULL,NULL
1,"Data Scientist",2022-09-13,0,NULL,NULL
1,"Data Scientist",2022-01-16,0,NULL,NULL
2,"Business Analyst",2022-01-16,0,NULL,NULL
1,"Data Analyst",2022-06-24,0,NULL,NULL
1,"Data Analyst",2022-03-04,0,NULL,NULL
1,"Data Scientist",2022-01-24,0,NULL,NULL
1,"Data Analyst",2022-09-20,0,NULL,NULL
2,"Business Analyst",2022-09-20,0,NULL,NULL
1,"Data Scientist",2022-04-30,0,NULL,NULL
1,"Data Scientist",2022-01-09,0,NULL,NULL
2,"Data Analyst",2022-05-19,0,NULL,NULL
1,"Data Analyst",2022-05-24,0,NULL,NULL
1,"Business Analyst",2022-01-23,0,NULL,NULL
1,"Business Analyst",2022-06-30,0,NULL,NULL
1,"Data Scientist",2022-09-02,0,NULL,NULL
1,"Data Analyst",2022-05-24,0,NULL,NULL
1,"Data Scientist",2022-08-13,0,NULL,NULL
1,"Data Scientist",2022-08-11,0,NULL,NULL
1,"Business Analyst",2022-01-29,0,NULL,NULL
1,"Data Analyst",2022-04-24,0,NULL,NULL
1,"Data Analyst",2022-04-05,0,NULL,NULL
1,"Data Scientist",2022-07-03,0,NULL,NULL
1,"Data Scientist",2022-09-08,0,NULL,NULL
1,"Data Analyst",2022-07-16,0,NULL,NULL
